Promotion Name: July Digital and Ecommerce,,,"Original Order Start: March 18, 2026",,,
"Start Date: July 1, 2026",,,"Original Order Deadline: March 20, 2026",,,
"End Date: July 31, 2026",,,"Reorder Start: June 24, 2026",,,
Sale Code: HB,,,"Reorder Deadline: August 11, 2026",,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:HB,,,,,,
SKU,Description,Vendor Name,Brand,Regular Retail,Promo Retail,Promo Member Cost
460771,2H CH LAV FAUC W/POPUP,Moen Inc,Moen,$84.99 ,$72.99 ,$64.70 
404521,2H CH LAV FAUC W/POPUP,Moen Inc,Moen,$59.99 ,$54.99 ,$47.31 
266353,3LB RDMIX JOINT COMPOUND,DAP INC,DAP,$13.99 ,$9.99 ,$5.45 
264528,12LB RMIX JOINT COMPOUND,DAP INC,DAP,$26.99 ,$19.99 ,$10.71 
611242,JAM & JELLY MAKER,LEM Products,LEM,$139.99 ,$124.99 ,$113.45 
264243,12OZ DAPTEX PLUS SEALANT,DAP INC,DAP,$12.29 ,$7.99 ,$6.13 
629998,BATH CANNER,LEM Products,LEM,$189.99 ,$169.99 ,$149.52 
261211,12OZ HOME SEAL FOAM SLNT,Dap Products Inc,DAP,$8.19 ,$5.99 ,$4.70 
152255,12OZ BARRIER M/P FOAM,Dap Products Inc,DAP,$13.79 ,$9.99 ,$7.83 
626225,13.5OZ STRBRY FRUIT JAR,Typhoon Homewares,Kilner,$6.99 ,$6.00 ,$3.40 
617381,KOSHER DILL MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
600630,6.5 OZ HOT SP PICKLE MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
600650,6.5 OZ MED SP PICKLE MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
600651,6.5OZ  POL DILL PCKL MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
600667,5.3 OZ SWEET PICKLE MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
617327,BREAD 'N BUTTER MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
617372,DILL PICKLE MIX,Midwest Distribution,Mrs. Wages,$3.79 ,$3.29 ,$2.75 
265152,20OZ GAP&CRCK FM SEALANT,DuPont,GREAT STUFF,$12.99 ,$9.49 ,$8.20 
261199,12OZ BLK SMT DISP SEALNT,DuPont,GREAT STUFF,$11.99 ,$10.49 ,$9.31 
114977,BLK DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49 ,$7.99 ,$7.16 
105686,GREEN DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49 ,$7.99 ,$7.16 
119350,BROWN DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49 ,$7.99 ,$7.16 
119342,WHITE DOWNSPOUT EXT,Spectra Metals,Spectra Metals,$10.49 ,$7.99 ,$7.16 
604234,BEEF&CHEESE COMBO STICK,Midwest Distribution,Jack Link's,$4.49 ,$3.99 ,$3.16 
608755,BF&JALAPENO CHEESE STICK,Midwest Distribution,Jack Link's,$4.49 ,$3.99 ,$3.16 
635032,14.9OZ MTDEW SODA MIX,SodaStream,SodaStream,$7.99 ,$6.99 ,$6.11 
614905,14.9OZ DIETMTDEW SODAMIX,SodaStream,SodaStream,$7.99 ,$6.99 ,$6.11 
600492,144CT HD COMBO CUTLERY,Hearthmark LLC,Diamond,$12.49 ,$9.99 ,$7.07 
611757,4OZ ACNE BAR SOAP,Remwood Products,Grandma's,$6.99 ,$4.99 ,$3.75 
500641,"16"" BLACK PEDESTAL FAN",Vision Air A,Denali Aire,$34.99 ,$19.99 ,$16.17 
535735,"20"" 3 SPEED BOX FAN",Vision Air A,Denali Aire,$22.99 ,$19.99 ,$18.21 
521964,3-SPEED WHOLE ROOM FAN,VORNADO,Vornado,$52.49 ,$49.99 ,$38.86 
532049,"36"" OSCL TOWR FAN W/RMT",LASKO PROD INC,Lasko,$72.99 ,$68.99 ,$59.72 
500684,"13""BLK OCSLTNG TOWER FAN",LASKO PROD INC,Lasko,$44.99 ,$29.99 ,$25.83 
548199,"12"" OSC WHT TABLE FAN",Vision Air A,Denali Aire,$27.99 ,$16.99 ,$13.80 
559394,"16"" 3SPD OSC PEDSTL FAN",Vision Air A,Denali Aire,$34.99 ,$22.99 ,$16.17 
808156,24OZ TUBELESS SEALANT,ITW Global Brands,Slime,$18.99 ,$10.99 ,$8.96 
783029,3PK 9X3/8 WVN W DOVE CVR,PURDY BESTT LIEBCO,Purdy,$12.99 ,$8.99 ,$7.77 
776203,WHITE 3006 ADV A/P CAULK,WHITE LIGHTNING PROD,White Lightning,$5.29 ,$2.99 ,$2.47 
777844,8OZ WALL REPAIR,GORILLA GLUE CO,Gorilla,$8.99 ,$5.99 ,$4.83 
799465,16OZ WALL REPAIR,GORILLA GLUE CO,Gorilla,$11.99 ,$8.99 ,$6.91 
773638,"1.41"" GREEN PAINTER TAPE",INTERTAPE POLYMER,IPG,$7.99 ,$5.99 ,$3.98 
773743,"1.88"" GRN PAINTER TAPE",INTERTAPE POLYMER,IPG,$8.99 ,$6.99 ,$5.16 
625038,5CT SP TRVL LG BAG,H M S,Hefty,$13.99 ,$9.99 ,$8.23 
200597,15LB CLR MOUNTING TAPE,GORILLA GLUE CO,Gorilla,$9.19 ,$5.99 ,$4.43 
200613,30LB BLK MOUNTING TAPE,GORILLA GLUE CO,Gorilla,$11.49 ,$7.99 ,$5.72 
240678,MAX STRG MOUNTING TAPE,GORILLA GLUE CO,Gorilla,$11.49 ,$9.99 ,$7.65 
200975,"1"" CLR MOUNTING SQUARES",GORILLA GLUE CO,Gorilla,$7.69 ,$5.99 ,$3.73 
251352,38LB CLR MOUNTING TAPE,GORILLA GLUE CO,Gorilla,$13.99 ,$10.99 ,$8.34 
216853,60LB BLK MOUNTING TAPE,GORILLA GLUE CO,Gorilla,$13.49 ,$10.99 ,$8.62 
644308,1GA ODOR ELIM/DSNFECTANT,OdoBan,OdoBan,$12.99 ,$9.99 ,$8.97 
601537,1GA ODOR ELIM/DSNFECTANT,OdoBan,OdoBan,$12.99 ,$12.99 ,$11.41 
628787,1GA LAV ODOR ELIM/DSNFCT,OdoBan,OdoBan,$12.99 ,$12.99 ,$11.41 
638803,32OZ MULTI-PURP CLEANER,KIK International,Greased Lightning,$4.99 ,$3.99 ,$3.13 
638811,1GL GRSD LGHTNG CLEANER,KIK International,Greased Lightning,$12.99 ,$9.99 ,$7.89 
212344,"16PC 1"" BEIGE FELT PAD",SHEPHERD HARDWARE,Gorilla,$8.49 ,$6.99 ,$2.48 
247878,"16PC 1"" BROWN FELT PAD",SHEPHERD HARDWARE,Gorilla,$8.49 ,$6.99 ,$2.48 
770913,AEROSOL SPORT SEAL,THOMPSONS,Thompson's WaterSeal,$15.49 ,$9.99 ,$6.19 
770333,AEROSOL FABRIC SEAL,THOMPSONS,Thompson's WaterSeal,$15.49 ,$9.99 ,$6.74 
779999,FLR ORANGE MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
780001,FL RD/ORNG MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
779968,WHITE MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
779906,BLUE MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
779951,RED MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
779913,H-VIS YEL MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
786409,FLUOR RED MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
782586,CLEAR MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
786355,SAFE GREEN MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
786317,APWA ORNG MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
779920,CAUT YELLW MARKING PAINT,RUSTOLEUM,Rust-Oleum,$9.49 ,$6.99 ,$4.00 
705294,"5/8""X50' FATMAX PRO HOSE",ORBIT,Stanley,$62.99 ,$39.99 ,$34.74 
705306,5/8X100' FATMAX PRO HOSE,ORBIT,Stanley,$94.99 ,$74.99 ,$63.20 
771708,CWF-UV NATURAL 1G,Pittsburgh Paints Co,Flood,$34.99 ,$27.99 ,$24.59 
771710,CWF-UV NATURAL 5G,Pittsburgh Paints Co,Flood,$154.99 ,$134.99 ,$120.64 
771704,CWF-UV HONEY GOLD 1G,Pittsburgh Paints Co,Flood,$34.99 ,$27.99 ,$24.59 
771706,CWF-UV HONEY GOLD 5G,Pittsburgh Paints Co,Flood,$154.99 ,$134.99 ,$120.64 
771691,CWF-UV CEDAR 1G,Pittsburgh Paints Co,Flood,$34.99 ,$27.99 ,$24.59 
771693,CWF-UV CEDAR 5G,Pittsburgh Paints Co,Flood,$154.99 ,$134.99 ,$120.64 
771698,CWF-UV REDWOOD 1G,Pittsburgh Paints Co,Flood,$34.99 ,$27.99 ,$24.59 
771700,CWF-UV REDWOOD 5G,Pittsburgh Paints Co,Flood,$154.99 ,$134.99 ,$120.64 
572562,ADJ DUAL BALL MOUNT,Winston Products,TowSmart,$179.99 ,$149.99 ,$106.39 
729337,USA BASS FISHING KIT,Mystery Tackle Box,Mystery Tackle Box,$42.99 ,$32.99 ,$29.79 
759761,40' LED CANOPY LIGHT SET,Brightz,Brightz,$22.49 ,$15.79 ,$14.12 
751256,LED COOLER PUCK LIGHT,Brightz,Brightz,$11.49 ,$8.00 ,$7.01 
723393,MED CUTLVL2 HIVIS GLOVE,Channellock Products,Channellock,$8.99 ,$6.29 ,$4.14 
727468,LRG CUTLVL2 HIVIS GLOVE,Channellock Products,Channellock,$8.99 ,$6.29 ,$4.14 
727997,XL CUTLVL2 HIVIS GLOVE,Channellock Products,Channellock,$8.99 ,$6.29 ,$4.14 
703825,"15"" LOPPER/PRUNER COMBO",DO IT BEST GS,Best Garden,$42.99 ,$16.99 ,$12.81 
702731,"13"" ERGO TROWEL",FISKARS,Fiskars,$12.99 ,$6.99 ,$5.53 
702740,"11-1/2"" ERGO CULTIVATOR",FISKARS,Fiskars,$12.99 ,$6.99 ,$5.53 
702718,"12.5"" ERGO WEEDER",FISKARS,Fiskars,$12.99 ,$6.99 ,$5.67 
702723,ERGO TRANSPLANTER,FISKARS,Fiskars,$12.99 ,$6.99 ,$5.67 
707398,100' HOLOGRAPHIC TAPE,DALEN PRODUCTS INC,Gardeneer,$11.99 ,$5.99 ,$4.35 
701849,5LB WILD BIRD SEED,RED RIVER COMMOD,Best Garden,$7.99 ,$5.59 ,$2.98 
701849,5LB WILD BIRD SEED,RED RIVER COMMOD,Best Garden,$7.99 ,$5.59 ,$2.98 
706757,5LB OIL SUNFLOWER SEED,RED RIVER COMMOD,Best Garden,$9.99 ,$6.99 ,$4.78 
706757,5LB OIL SUNFLOWER SEED,RED RIVER COMMOD,Best Garden,$9.99 ,$6.99 ,$4.78 
733534,6PK VARIETY SUET,Wildlife Sciences,Suet Plus,$11.99 ,$8.99 ,$8.08 
733534,6PK VARIETY SUET,Wildlife Sciences,Suet Plus,$11.99 ,$8.99 ,$8.08 
810215,8OZ INNER TUBE SEALANT,ITW Global Brands,Slime,$11.99 ,$8.99 ,$4.51 
706713,12OZ HVYDTY WATERPROOFER,IMPLUS FOOT CARE LLC,Sof Sole,$14.99 ,$9.99 ,$7.74 
719365,6PK 2.25HR CANNED HEAT,STERNO GROUP LLC,Sterno,$28.49 ,$19.99 ,$16.94 
595473,14' SLIDING RATCHET,ERICKSON MFG LTD,Erickson,$36.99 ,$29.99 ,$19.28 
599162,STA-BIL 4 OZ. FAST FIX,GOLD EAGLE MFG,Sta-Bil,$7.99 ,$5.99 ,$4.17 
303514,18GA BARE ST NAILER,MILWAUKEE TOOL,Milwaukee,$339.99 ,$299.99 ,$263.18 
715003,14'X14' BIRD NETTING,DALEN PRODUCTS INC,Dalen,$14.99 ,$11.99 ,$6.37 
703352,GAL RTU BED BUG KILLER,PF HARRIS MFG CO LLC,Harris,$62.99 ,$59.99 ,$42.35 
812066,CROWNS490 LP GRILL,Onward Multi Corp  D,Broil King,$949.99 ,$699.99 ,$598.19 
863829,CRWN520 SHADOW LP GRILL,Onward Multi Corp  D,Broil King,$999.99 ,$899.99 ,$768.10 
871616,BRN 490PRO SHDW LP GRILL,Onward Multi Corp  D,Broil King,"$1,099.99 ",$999.99 ,$852.74 
871688,FOOD PREP GLOVE SET,Onward Multi Corp  D,GrillPro,$10.99 ,$9.99 ,$7.49 
826253,ELECTRIC LIGHTER,Onward Multi Corp  D,GrillPro,$17.99 ,$14.99 ,$10.84 
826253,ELECTRIC LIGHTER,Onward Multi Corp  D,GrillPro,$17.99 ,$14.99 ,$10.84 
888838,PELLET STORAGE BIN,Onward Multi Corp  D,Broil King,$24.99 ,$21.99 ,$15.54 
710854,WASP&HORNET TRAP,Spectrum Brands HG,Spectracide,$17.49 ,$17.49 ,$15.20 
752194,WASP&HORNET TRAP REFILL,Spectrum Brands HG,Spectracide,$10.49 ,$8.99 ,$7.86 
725787,18.5OZ WSP&HORNET KILLER,Spectrum Brands HG,Spectracide,$5.29 ,$4.99 ,$3.73 
704100,14OZ WASP&HORNET KILLER,Spectrum Brands HG,Black Flag,$5.99 ,$4.99 ,$4.34 
700406,14OZ F WASP&HORNET KILLR,Spectrum Brands HG,Black Flag,$6.49 ,$4.99 ,$4.38 
741082,2PK 14OZ WASP&HRNT FOAM,Spectrum Brands HG,Black Flag,$11.99 ,$9.99 ,$8.82 
765775,GAL RTU BUG STOP KILLER,Spectrum Brands HG,Spectracide,$7.49 ,$6.99 ,$5.74 
701642,5M VERI-GREEN LAWN FOOD,JONATHAN GREEN,Jonathan Green,$23.99 ,$20.49 ,$14.39 
722348,3# PTCHR MLCH/FERT SEED,JONATHAN GREEN,Jonathan Green,$25.99 ,$22.49 ,$16.50 
714506,3# BB TALL FESCUE SEED,JONATHAN GREEN,Jonathan Green,$24.99 ,$22.99 ,$13.84 
744348,7# BB TALL FESCUE SEED,JONATHAN GREEN,Jonathan Green,$44.99 ,$42.99 ,$30.04 
716977,3# SOUTH LAWN GRASS SEED,JONATHAN GREEN,Jonathan Green,$24.99 ,$22.99 ,$14.41 
720126,7# SOUTH LAWN GRASS SEED,JONATHAN GREEN,Jonathan Green,$44.99 ,$42.99 ,$31.12 
750756,5K SQFT WEED&FEED KILLER,JONATHAN GREEN,Jonathan Green,$29.99 ,$27.99 ,$19.18 
705773,5M ACIDIC MAG-I-CAL PLUS,JONATHAN GREEN,Jonathan Green,$29.99 ,$27.99 ,$20.32 
705786,5M ALKAL MAG-I-CAL PLUS,JONATHAN GREEN,Jonathan Green,$28.99 ,$28.99 ,$21.13 
704955,4OZ DP WDS OFF DRY AERO,SC JOHNSON,OFF!,$8.49 ,$6.99 ,$6.06 
736859,6OZ DEEP WOODS BUG REPEL,SC JOHNSON,OFF!,$9.99 ,$7.99 ,$6.24 
731667,16OZ YARD&DECK BUG REPEL,SC JOHNSON,OFF!,$11.99 ,$9.99 ,$7.56 
503067,550L RCH FLASHLIGHT,LB Marketing Inc.,Police Security,$34.99 ,$24.79 ,$20.05 
508636,BLK INOUT RCHRG LED LAMP,Amertac Westek,Westek,$69.99 ,$45.79 ,$38.82 
509962,BEL BLK/BRZ RECHARG LAMP,Amertac Westek,Westek,$69.99 ,$45.79 ,$38.82 
525683,400L CLRCHG LED LANTERN,NEBO ACG Brands,Nebo,$34.99 ,$21.79 ,$18.81 
524251,6OUTLET WHT USB-A/C TAP,Prime Wire and Cable,Prime,$29.99 ,$21.79 ,$19.90 
501937,4 OUTLET SURGE W/USB,Prime Wire and Cable,Prime,$25.99 ,$15.49 ,$14.19 
533738,"11"" NKL MLTCCT LEDLIGHT",FEIT ELECTRIC,Feit Electric,$52.99 ,$39.79 ,$25.29 
541726,2PK LED WORK LIGHT,FEIT ELECTRIC,Feit Electric,$28.99 ,$19.79 ,$16.29 
756570,20CT MGORG TAB PLNT FOOD,SCOTTS COMPANY,Miracle-Gro,$10.99 ,$8.99 ,$6.68 
750761,3LB ROSE&BLOOM PLNT FOOD,SCOTTS COMPANY,Scotts,$9.49 ,$7.99 ,$4.62 
731663,12PK EVERGRN FERT SPIKE,SCOTTS COMPANY,Miracle-Gro,$15.49 ,$13.99 ,$9.50 
399055,2IN1 DR ULTFN BLK MARKER,MILWAUKEE TOOL,Milwaukee,$7.99 ,$4.99 ,$4.33 
335894,7PC SCREWDRIVER SET,KLEIN TOOLS INC,Klein Tools,$54.99 ,$49.97 ,$41.96 
322190,SPOT LIGHT STUD SENSOR,Zircon International,Do it Best,$24.99 ,$17.99 ,$16.09 
358754,HAMMER TACKER,STANLEY TOOLS,Stanley,$28.99 ,$21.99 ,$19.80 
300145,RETRACTBLE UTILITY KNIFE,STANLEY TOOLS,DEWALT,$16.99 ,$9.99 ,$8.56 
346861,5PC OPEN END WRENCH SET,Channellock Products,Channellock,$39.99 ,$21.99 ,$15.15 
302946,5PC OPEN END WRENCH SET,Channellock Products,Channellock,$39.99 ,$21.99 ,$15.15 
332992,"6"" SPINNER HANDLE",Channellock Products,Channellock,$16.99 ,$7.99 ,$4.96 
309435,10PC WRENCH SET,Channellock Products,Channellock,$59.99 ,$39.99 ,$32.95 
309443,10PC METRIC WRENCH SET,Channellock Products,Channellock,$59.99 ,$39.99 ,$32.95 
328499,"10PC M 1/4"" SOCKET SET",Channellock Products,Channellock,$32.99 ,$14.99 ,$10.13 
346756,"10PC 1/4"" SOCKET SET",Channellock Products,Channellock,$32.99 ,$14.99 ,$10.13 
399980,8PC METRIC HEX KEY SET,Channellock Products,Channellock,$36.99 ,$21.99 ,$17.51 
384987,8PC SAE HEX KEY SET,Channellock Products,Channellock,$36.99 ,$21.99 ,$17.51 
386940,"1"" SPRING CLAMP",Channellock Products,Channellock,$1.99 ,$1.29 ,$1.11 
386947,"2"" SPRING CLAMP",Channellock Products,Channellock,$3.79 ,$2.49 ,$2.18 
389344,"3"" SPRING CLAMP",Channellock Products,Channellock,$5.49 ,$3.99 ,$3.54 
369881,"3"" LD CLAMP ON VISE",Channellock Products,Channellock,$37.99 ,$24.99 ,$19.71 
370983,"7"" WOODWORKERS VISE",Channellock Products,Channellock,$77.99 ,$59.99 ,$52.74 
365457,15' BAND CLAMP,Channellock Products,Channellock,$28.99 ,$18.99 ,$13.32 
518477,12000L LED WORKLIGHT,Channellock Products,Channellock,$99.99 ,$79.99 ,$51.79 
567779,"65"" UNIVERSAL TRIPOD",Channellock Products,Channellock,$39.99 ,$29.99 ,$26.88 
569532,1000LM RCH HEADLAMP,Channellock Products,Channellock,$46.99 ,$29.99 ,$24.59 
530367,1000LM RCH FLASHLIGHT,Channellock Products,Channellock,$49.99 ,$29.99 ,$22.76 
539581,2000LM RCH FLASHLIGHT,Channellock Products,Channellock,$64.99 ,$39.99 ,$32.06 
